timestamp,artist,track,album,source,duration_seconds
#Add your data here 
2026-02-26T20:23:28.752473,Los Campesinos!,A Psychic Wound,,SomaFM Indie Pop,180
2026-02-26T20:27:13.751887,Blitzen Trapper,Cheap Fantastical Takedown,,SomaFM Indie Pop,180
2026-02-26T20:30:47.492367,Young Tongue,Caveshare,,SomaFM Indie Pop,180
2026-02-26T20:35:17.488765,Passenger,Wicked Man's Rest,,SomaFM Indie Pop,180
2026-02-26T20:39:02.491101,Mini Trees,Hollow,,SomaFM Indie Pop,180
2026-02-26T20:42:47.491151,Real Estate,Haunted World,,SomaFM Indie Pop,180
2026-02-26T20:45:36.263679,Soft Loft,Leave The Light On,,SomaFM Indie Pop,180
2026-02-26T20:49:10.010372,Golden Daze,Sleepin' In The Sun,,SomaFM Indie Pop,180
2026-02-26T20:51:13.738858,Warm Soda,Someone For You,,SomaFM Indie Pop,180
2026-02-26T20:53:39.998643,Feist,1 2 3 4,,SomaFM Indie Pop,180
2026-02-26T20:56:28.738953,Vandaveer,Spite,,SomaFM Indie Pop,180
2026-02-26T20:59:06.253212,Half Waif,Big Dipper,,SomaFM Indie Pop,180
2026-02-26T21:03:02.493258,Parcels,Safeandsound (Radio Edit),,SomaFM Indie Pop,180
2026-02-26T21:06:36.252073,Wren Hinds,Father,,SomaFM Indie Pop,180
2026-02-26T21:10:21.250545,Band Of Horses,"Whatever, Wherever",,SomaFM Indie Pop,180
2026-02-26T21:14:28.740173,Day Wave,Hard To Read,,SomaFM Indie Pop,180
2026-02-26T21:17:40.022273,Nada Surf,New Propeller,,SomaFM Indie Pop,180
2026-02-26T21:22:43.746512,Ekkstacy,I Can't Find Anyone,,SomaFM Indie Pop,180
2026-02-26T21:24:58.740641,Flock Of Dimes,Close To Home,,SomaFM Indie Pop,180
2026-02-26T21:29:28.753524,Sea And Cake,On A Letter,,SomaFM Indie Pop,180
2026-02-26T21:33:02.497142,Young Legs,Resolution,,SomaFM Indie Pop,180
2026-02-26T21:35:51.257642,Loquat,Simple Song (Shins Cover),,SomaFM Indie Pop,180
2026-02-26T21:40:09.998212,Augustines,Hold Me Loneliness,,SomaFM Indie Pop,180
2026-02-26T21:43:43.756526,Soccer Mommy,Salt In Wound,,SomaFM Indie Pop,180
2026-02-26T21:47:39.998898,Dari Bay,Same Old Bumpy Road,,SomaFM Indie Pop,180
2026-02-26T21:50:06.237610,Hatchie,Sage,,SomaFM Indie Pop,180
2026-02-26T21:54:02.486022,Superchunk,Green Flowers Blue Fish,,SomaFM Indie Pop,180
2026-02-26T21:57:36.242215,Sean McVerry,Marcy And The Apparition,,SomaFM Indie Pop,180
2026-02-26T22:01:32.486695,Fleece,Take Off All Your Honey,,SomaFM Indie Pop,180
2026-02-26T22:03:47.476636,Rachel Bobbitt,Sweetest Heart,,SomaFM Indie Pop,180
2026-02-26T22:06:58.738255,Camera Obscura,Liberty Print,,SomaFM Indie Pop,180
2026-02-26T22:12:13.750835,Carl Broemel,Snowflake,,SomaFM Indie Pop,180
2026-02-26T22:16:09.996059,Earlimart,Everybody Knows Everybody,,SomaFM Indie Pop,180
2026-02-26T22:18:36.236651,Tennis,Please Don't Ruin This For Me,,SomaFM Indie Pop,180
2026-02-26T22:21:25.012468,Boy & Bear,Three Headed Woman,,SomaFM Indie Pop,180
2026-02-26T22:25:10.012566,Wet Leg,Mangetout (Clean Edit),,SomaFM Indie Pop,180
2026-02-26T22:28:32.490691,Jeff Tweedy,Kc Rain (No Wonder),,SomaFM Indie Pop,180
2026-02-26T22:31:21.240684,Glom,Mirror,,SomaFM Indie Pop,180
2026-02-26T22:34:21.243614,Twerps,Raft,,SomaFM Indie Pop,180
